estimator,half_CI
6.01078,0.610265
5.83968,0.509264
5.83981,0.4625
5.8425,0.434707
5.84827,0.365602
5.91004,0.323761
5.8788,0.294356
5.88158,0.252427
5.91316,0.226747
5.91608,0.216439
5.93549,0.193127
5.96034,0.168231
5.98673,0.163412
5.98606,0.157338
5.99429,0.156961
5.99678,0.162658
6.01199,0.156265
6.02793,0.148076
6.02137,0.145515
6.02032,0.13455
6.01098,0.130303
6.00173,0.128462
6.002,0.120861
6.00462,0.116855
5.99531,0.112288
5.99707,0.102771
5.99733,0.0936204
5.9854,0.0925762
5.97448,0.0921986
5.96891,0.0927008
5.96242,0.0949174
5.96627,0.0915401
5.96992,0.0901728
5.96069,0.0882256
5.96468,0.0814862
5.96512,0.0790763
5.96862,0.0796199
5.96983,0.0770732
5.97463,0.0766942
5.97864,0.0772112
5.97833,0.0753903
5.97727,0.0767834
5.98026,0.0776792
5.98613,0.0769846
5.98739,0.0758078
5.99405,0.0742411
6.00117,0.069693
6.00574,0.0679846
6.00528,0.0670715
6.00664,0.0645406
6.00092,0.0656884
5.99793,0.0661367
5.99869,0.0635873
6.00501,0.0625253
6.00707,0.0639559
6.00804,0.0636352
6.00942,0.0648353
6.00673,0.067419
6.00993,0.0663642
6.01001,0.0667226
6.0098,0.0650395
6.00936,0.0614434
6.01036,0.0593378
6.0094,0.0600421
6.00703,0.0595118
6.00886,0.0606109
6.01183,0.0610531
6.00821,0.0590618
6.00944,0.0587572
6.01016,0.0583798
6.01106,0.0565929
6.01416,0.0563058
6.01562,0.0555623
6.01801,0.0518139
6.02163,0.0498029
6.02634,0.0474287
6.02836,0.0444292
6.03174,0.0450012
6.03252,0.0454197
6.0329,0.045612
6.03568,0.0452726
6.03418,0.0449475
6.03323,0.0443274
6.03192,0.0445539
6.02902,0.0461673
6.02258,0.0458029
6.02186,0.0460352
6.0215,0.0455482
6.01935,0.0442723
6.02106,0.0434049
6.01793,0.044905
6.01754,0.0454813
6.01898,0.0462412
6.01933,0.0469526
6.02231,0.0461267
6.02272,0.0453425
6.02203,0.0444228
6.02344,0.0428506
6.02483,0.0424327
6.02669,0.0428635

