estimator,half_CI
0.185582,0.167696
0.176928,0.118379
0.183963,0.0904654
0.185426,0.0814552
0.169563,0.0667662
0.163918,0.0603622
0.152806,0.0535264
0.162898,0.0520117
0.183487,0.057363
0.185336,0.0530238
0.189813,0.0481576
0.200426,0.048022
0.202047,0.0479462
0.194891,0.0444502
0.205825,0.0431444
0.200149,0.0408445
0.200483,0.0382459
0.203512,0.0380004
0.204573,0.0357471
0.202118,0.0334903
0.19802,0.031708
0.197111,0.0300714
0.197743,0.0296206
0.203512,0.0297957
0.206108,0.0309069
0.204702,0.029932
0.204235,0.0284112
0.202411,0.0281217
0.197705,0.0273343
0.196645,0.0264511
0.198213,0.0257847
0.197005,0.0245955
0.198674,0.0239775
0.198874,0.0237148
0.196951,0.0229949
0.196758,0.0224224
0.19602,0.0217679
0.196247,0.0220174
0.200186,0.0211087
0.199725,0.0204251
0.199491,0.0195816
0.199417,0.01937
0.19737,0.0190925
0.196955,0.0187139
0.195654,0.0184019
0.196496,0.0183251
0.195661,0.0179895
0.19717,0.0173636
0.19952,0.0170065
0.198801,0.0167609
0.200326,0.0163615
0.19926,0.0162961
0.19854,0.0159189
0.199117,0.0154586
0.199768,0.0154149
0.197382,0.0151943
0.196385,0.0150194
0.195886,0.0149018
0.195961,0.0152144
0.197176,0.0152381
0.196573,0.0154442
0.197687,0.0150196
0.200881,0.0151858
0.202969,0.0146757
0.20296,0.0145992
0.202847,0.014378
0.200985,0.0143761
0.200538,0.0141253
0.20052,0.0142271
0.200199,0.0140945
0.199543,0.0138582
0.200325,0.0134351
0.201845,0.0132098
0.201885,0.0133178
0.204513,0.0131388
0.205141,0.0130429
0.204889,0.0128722
0.205002,0.0124316
0.204691,0.0124135
0.205899,0.0123582
0.206172,0.0124007
0.205993,0.0123636
0.206506,0.0122976
0.206136,0.0124018
0.20681,0.0121025
0.206659,0.0120263
0.207964,0.0119775
0.208482,0.0119576
0.208343,0.0118482
0.207426,0.0116059
0.20677,0.0114802
0.207234,0.0115772
0.207721,0.011718
0.207012,0.0117677
0.20658,0.0118185
0.2062,0.0117085
0.204639,0.0116261
0.204408,0.0113947
0.204409,0.0111921
0.205258,0.0112305
0.205939,0.0111805
0.207218,0.011109
0.209158,0.0111923
0.209165,0.0108982
0.209276,0.0108888
0.208439,0.010878
0.208045,0.0105786
0.207882,0.0105616
0.208092,0.0103382
0.208141,0.0102879
0.207548,0.0101645
0.207055,0.0101454
0.206458,0.0101087
0.20716,0.00997526
0.206411,0.00997942
0.205942,0.00978527
0.205975,0.00966141
0.205549,0.00975231
0.205965,0.00960905
0.20583,0.00954555
0.205152,0.00960766
0.204574,0.00963767
0.204286,0.00959828
0.205033,0.00977036
0.205376,0.0097059
0.206046,0.00966625
0.205933,0.0096175
0.205336,0.00940607
0.205279,0.00924338
0.205662,0.00928077
0.204964,0.00925521
0.204728,0.0091173
0.203528,0.00905058
0.203195,0.00912959
0.202224,0.0091057
0.202669,0.00895738
0.202249,0.00923877
0.201638,0.00925847
0.202091,0.0092966
0.201856,0.00909536
0.202591,0.0090928
0.202429,0.00908112
0.201888,0.00900441
0.202298,0.00894019
0.20153,0.0088932
0.201108,0.00887425
0.200567,0.00882833
0.199976,0.00886272
0.199356,0.00887018
0.199833,0.00872236
0.199734,0.00882426
0.200173,0.00865672
0.200512,0.0085827
0.200253,0.00864191
0.20021,0.00862302
0.20047,0.00861271
0.199631,0.00852085
0.199123,0.0085839
0.199484,0.00840798
0.199147,0.00848918
0.198702,0.00846602
0.19935,0.0085114
0.199651,0.00855414
0.199482,0.00837005
0.19956,0.0083259
0.199626,0.00827766
0.199088,0.00824921
0.198892,0.00829277
0.198699,0.00828928
0.198735,0.00840293
0.198553,0.00846142
0.198249,0.0084125
0.198031,0.00838773
0.197995,0.0082877
0.197571,0.0082589
0.197185,0.00818019
0.197569,0.00811584
0.197636,0.00829666
0.198084,0.00812457
0.198381,0.00812593
0.199032,0.00811874
0.198821,0.00815846
0.198718,0.0081596
0.198319,0.00818585
0.197938,0.00801731
0.198023,0.00787122
0.197561,0.00783363
0.197498,0.00781521
0.197055,0.00786549
0.197382,0.00787248
0.196957,0.00786685
0.198015,0.00772554
0.198425,0.00761751
0.198668,0.00757627
0.199269,0.00751861
0.198939,0.00746713
0.198737,0.00734595
0.198868,0.0073978
0.199112,0.00751399
0.198803,0.00738681
0.198928,0.00734319
0.19923,0.00742081
0.199091,0.00733616
0.199027,0.0074269
0.198615,0.00748742
0.199227,0.00734475
0.199132,0.00730645
0.198915,0.00733601
0.198417,0.00736267
0.198622,0.00727275
0.198061,0.0072486
0.197669,0.00715813
0.197833,0.00715381
0.197921,0.00703589
0.197614,0.00693458
0.198089,0.00684266
0.19848,0.00692806
0.198429,0.00693156
0.198341,0.00692304
0.198643,0.00699157
0.198325,0.00692538
0.198143,0.00690266
0.197815,0.00680116
0.197505,0.00682691
0.197386,0.00683226
0.197164,0.0067783
0.197132,0.00680954
0.197718,0.00677086
0.197791,0.00679128
0.198077,0.00681865
0.197932,0.00687984
0.198139,0.00678237
0.199146,0.00692295
0.200257,0.00688821
0.200303,0.00688616
0.20019,0.00684468
0.200024,0.00681976
0.199861,0.00673069
0.199494,0.00666484
0.199452,0.0066869
0.199233,0.00669048
0.199714,0.006649
0.199513,0.00660283
0.199976,0.00643875
0.199814,0.00639538
0.199878,0.00633685
0.19982,0.00631308
0.199888,0.00629662
0.19987,0.00630392
0.199834,0.00627758
0.199461,0.00625013
0.199276,0.00626557
0.199326,0.00618227
0.19934,0.00619979
0.199879,0.00633498
0.200068,0.00629198
0.200188,0.00626274
0.19987,0.0062588
0.199609,0.00625577
0.19962,0.00624811
0.199942,0.00625675
0.199967,0.00631339
0.200265,0.00630545
0.200486,0.00633277
0.199928,0.00635964
0.199712,0.00641096
0.200005,0.0064081
0.199984,0.00649108
0.200543,0.00642166
0.201189,0.00646643
0.201743,0.00650902
0.201787,0.00649963
0.202351,0.00635956
0.202451,0.00636534
0.202165,0.00637043
0.201714,0.00635825
0.201282,0.00631569
0.201218,0.00629033
0.200853,0.00626525
0.200815,0.00620288
0.200815,0.00618961
0.200948,0.00620732
0.200965,0.00612136
0.20107,0.00599768
0.201336,0.00595996
0.201264,0.00589841
0.201085,0.00583654
0.201522,0.00585877
0.201298,0.00585198
0.20115,0.00581174
0.201035,0.00582524
0.200795,0.00580294
0.201305,0.0056412
0.201229,0.00562029
0.201252,0.00558105
0.201832,0.00565397
0.202077,0.00574039
0.201962,0.00571303
0.201624,0.0056813
0.201588,0.0056314
0.201633,0.00559185
0.201333,0.00555502
0.201556,0.00555514
0.201598,0.00558774
0.201452,0.00556625
0.201733,0.00553616
0.201603,0.00552079
0.201416,0.0054572
0.201582,0.0055656
0.201734,0.00562509
0.201732,0.00557157
0.201786,0.00557394
0.20191,0.00549834
0.201963,0.00542324
0.201714,0.00539067
0.201918,0.00541795
0.201933,0.00542037
0.202151,0.00545331
0.201862,0.0054023
0.201698,0.00533639
0.201729,0.00531224
0.201436,0.00529546
0.201378,0.00528055
0.201613,0.00521301
0.201449,0.00519108
0.201478,0.00517172
0.201544,0.00508841
0.201305,0.00509238
0.200936,0.0050428
0.200915,0.00502113
0.200836,0.00498004
0.20079,0.0049527
0.200774,0.00491877
0.201287,0.00487156
0.201544,0.00479772
0.201735,0.0048326
0.201478,0.00483451
0.201557,0.00490145
0.201637,0.00490568
0.20118,0.00489582
0.200944,0.00491352
0.200925,0.00496487
0.200772,0.00498685
0.200383,0.0049541
0.200268,0.00502815
0.200181,0.00508331
0.200035,0.00502869
0.200499,0.00508054
0.200628,0.00509543
0.200869,0.00508007
0.201145,0.00512474
0.201086,0.00518767
0.200936,0.00519239
0.201163,0.00514881
0.200969,0.00510961
0.200659,0.00507436
0.200506,0.00510563
0.20047,0.00515216
0.200252,0.00520675
0.200635,0.00519112
0.201041,0.00512308
0.201271,0.00508358
0.201229,0.00503892
0.201313,0.00501603
0.20111,0.00499918
0.201163,0.00494188
0.201023,0.00488313
0.201084,0.004795
0.201205,0.00472467
0.201315,0.00475676
0.201332,0.00472365
0.201431,0.00470728
0.201611,0.00467694
0.2016,0.00467534
0.201812,0.0046753
0.201749,0.00466185
0.20177,0.00469128
0.20177,0.00474712
0.201579,0.0047683
0.201515,0.00482164
0.201801,0.00482894
0.201653,0.00484541
0.201487,0.00480315
0.201583,0.00483565
0.201238,0.00482168
0.201615,0.0048445
0.201987,0.004946
0.202395,0.00497986
0.202645,0.0048548
0.203029,0.00489178
0.2029,0.00489455
0.202495,0.0048933
0.202393,0.0049279
0.202213,0.00497794
