estimator,half_CI
2.06822,0.452299
2.08253,0.372264
2.07308,0.332571
2.06454,0.3015
2.0682,0.258227
2.03938,0.223562
1.96858,0.204256
1.96157,0.187198
1.97257,0.176322
2.00449,0.1689
1.99511,0.158298
1.99661,0.151505
1.97847,0.148561
1.99818,0.138508
2.0146,0.135407
2.01925,0.134002
2.02696,0.127779
2.01732,0.123764
2.00047,0.117722
1.9895,0.109445
1.98407,0.103524
1.97267,0.0997893
1.97715,0.09345
1.97913,0.0895393
1.97157,0.0868632
1.96848,0.0819318
1.97613,0.0782138
1.97186,0.077171
1.97652,0.0776253
1.98294,0.0757293
1.97959,0.073402
1.98575,0.0703046
1.98582,0.0673709
1.98222,0.0647959
1.9828,0.0620077
1.97715,0.0627528
1.97798,0.065719
1.97806,0.0649687
1.97987,0.0656027
1.98028,0.0647499
1.9879,0.0626872
1.99103,0.0631277
1.99312,0.0646298
1.99936,0.0651875
2.00124,0.0638077
2.00239,0.0601861
1.9976,0.0571866
1.99697,0.0554428
1.98982,0.0547626
1.98921,0.0526918
1.98761,0.0529975
1.98538,0.0532418
1.98941,0.0518156
1.9882,0.0509107
1.98201,0.0495199
1.98033,0.0490236
1.97559,0.04933
1.97012,0.0484943
1.96676,0.0475023
1.96242,0.0456861
1.95804,0.0439838
1.95756,0.043527
1.94963,0.0438742
1.94655,0.0438004
1.94621,0.0450181
1.94417,0.0449147
1.93974,0.044872
1.93907,0.043888
1.93474,0.0432664
1.93181,0.042933
1.93169,0.0426632
1.9338,0.0427428
1.93324,0.0421918
1.92861,0.0410326
1.92833,0.0399634
1.92847,0.0383338
1.93212,0.0368563
1.93299,0.0364688
1.93769,0.0373847
1.93931,0.0378687
1.93706,0.0375348
1.93846,0.0367518
1.93687,0.0360467
1.9355,0.035087
1.93353,0.0355463
1.93349,0.0359517
1.93463,0.0357527
1.9341,0.035651
1.9354,0.0351051
1.93501,0.0351452
1.93136,0.0354336
1.93308,0.0361489
1.9364,0.0364108
1.93674,0.0364034
1.93703,0.0355487
1.9404,0.034556
1.94007,0.0342893
1.93822,0.0333412
1.93659,0.0331517
1.93783,0.0332455
1.93604,0.0334882
1.93489,0.0330408
1.93314,0.0326388
1.93255,0.0321477
1.93082,0.0317816
1.93167,0.0320832
1.93645,0.031581
1.93832,0.0315175
1.93834,0.0307091
1.93673,0.0297661
1.93803,0.028514
1.93716,0.0279325
1.93572,0.0274218
1.93608,0.0271416
1.93385,0.0266426
1.93267,0.0259186
1.93228,0.0252515
1.92995,0.0251344
1.92886,0.0255206
1.92806,0.0258935
1.92554,0.026665
1.92306,0.0270451
1.92045,0.0268723
1.91971,0.0264161
1.92007,0.0255611
1.91902,0.0253816
1.91634,0.0255004
1.91632,0.0253166
1.91566,0.0251372
1.91579,0.0246463
1.91759,0.023548
1.91867,0.0233443
1.91971,0.0237579
1.92211,0.0239236
1.92419,0.023802
1.92464,0.0237915
1.92454,0.0233281
1.92436,0.0227065
1.92141,0.0226084
1.91998,0.0225388
1.91805,0.0224122
1.9171,0.0222203
1.91785,0.0215169
1.91821,0.0211527
1.91712,0.0209456
1.91696,0.021181
1.91625,0.0211058
1.91652,0.0210363
1.91895,0.0206971
1.92071,0.0205255
1.91907,0.0201715
1.91912,0.0198436
1.91924,0.0193533
1.91901,0.0192604
1.91887,0.0190559
1.91937,0.019557
1.9204,0.020295
1.92101,0.0205851
1.92081,0.0205794
1.92008,0.0209652
1.92049,0.0206822
1.91969,0.0203611
1.91971,0.0203446
1.92008,0.0199933
1.92193,0.0193387
1.92299,0.0190076
1.92395,0.0182235
1.92425,0.0178264
1.92453,0.0177059
1.9258,0.0176453
1.92658,0.0176441
1.92727,0.0175437
1.92668,0.0172118
1.92542,0.0170089
1.92303,0.0170473
1.92277,0.0169134
1.92235,0.0169118
1.92073,0.017075
1.92034,0.0167348
1.92043,0.0163533
1.91871,0.0162307
1.91778,0.0161604
1.91808,0.0164712
1.91901,0.0170641
1.92021,0.0172125
1.9219,0.0174318
1.92129,0.0175037
1.92145,0.017349
1.92194,0.017178
1.92203,0.0170383
1.9211,0.0168684
1.92101,0.0170722
1.92035,0.0168582
1.91967,0.0164907
1.9185,0.0163705
1.91966,0.0163152
1.92112,0.0160202
1.92227,0.0164528
1.92172,0.016466
1.92101,0.0162291
1.92097,0.0161853
1.92134,0.0161048
1.92136,0.0158582
1.92153,0.0158867
1.92158,0.0159953
1.92143,0.0160866
1.9223,0.0162314
1.92255,0.0160932
1.92325,0.0159295
1.92264,0.0161732
1.92319,0.0162408
1.92447,0.0163708
1.92498,0.0168587
1.92396,0.0170879
1.92426,0.0169665
1.92402,0.016958
1.9228,0.0169932
1.92273,0.0170132
1.92355,0.0173335
1.92453,0.0175271
1.92527,0.0174388
1.92629,0.017322
1.92698,0.0172374
1.92837,0.016992
1.92903,0.0171195
1.93028,0.0174422
1.93087,0.0173633
1.93154,0.0172851
1.93097,0.0169998
1.93094,0.0166262
1.93042,0.0165209
1.92977,0.0165085
1.93041,0.0166777
1.9302,0.0169701
1.93003,0.0171778
1.93064,0.0169453
1.93006,0.0167859
1.92984,0.0168416
1.9308,0.0168268
1.93169,0.0172014
1.93143,0.0173997
1.9313,0.0174979
1.93111,0.0173761
1.93049,0.0174313
1.93032,0.0174125
1.9301,0.0175953
1.92973,0.017705
1.93116,0.0177392
1.93159,0.0178684
1.93195,0.0179189
1.93284,0.0178186
1.93172,0.0177597
1.93045,0.0176122
1.93066,0.0176191
1.93075,0.0173717
1.92985,0.0171455
1.92996,0.0168909
1.9296,0.0167155
1.92852,0.0165268
1.92851,0.0165148
1.92913,0.0166459
1.92969,0.0166731
1.93016,0.0164467
1.9301,0.0162889
1.93001,0.0160437
1.92989,0.0160426
1.92924,0.0161799
1.92864,0.0164652
1.92759,0.0164171
1.92754,0.0163888
1.92776,0.0163204
1.92719,0.0162544
1.92675,0.0162914
1.92713,0.0163561
1.928,0.0162434
1.9281,0.0163126
1.92801,0.0163684
1.92807,0.0162538
1.92818,0.016204
1.92771,0.0162918
1.92761,0.0161908
1.92771,0.0161539
1.92659,0.0161134
1.92624,0.0157553
1.92566,0.0156651
1.9249,0.0156171
1.92477,0.0155284
1.92539,0.0155385
1.92502,0.0157128
1.92424,0.0157483
1.92389,0.0156074
1.92354,0.0156795
1.92357,0.0154002
1.9227,0.0153024
1.92207,0.0150751
1.92204,0.014833
1.92265,0.0146895
1.92262,0.0146769
1.92237,0.0144551
1.92278,0.0141548
1.92316,0.01396
1.92456,0.013735
1.92521,0.0138843
1.9256,0.014182
1.92569,0.0142528
1.92589,0.0142623
1.92547,0.0143246
1.92546,0.0142636
1.92528,0.0141789
1.92551,0.0141306
1.92583,0.0138832
1.92657,0.013882
1.92647,0.0139306
1.92648,0.013786
1.92651,0.0135261
1.92658,0.0136352
1.92643,0.0134936
1.92708,0.0134045
1.92678,0.0132236
1.9269,0.0130972
1.92671,0.0130765
1.92511,0.0129925
1.92522,0.0130244
