estimator,half_CI
-0.0981078,0.19915
0.0330238,0.10904
-0.0281132,0.0693351
-0.0377738,0.0861403
-0.00360559,0.0573816
-0.0232075,0.0533502
-0.0143334,0.0556567
0.00126667,0.0358792
-0.00771045,0.0282662
-0.016558,0.0358554
-0.00397976,0.0319672
-0.012963,0.0290154
-0.0106694,0.0312851
0.000914868,0.0223257
-0.00473973,0.0239504
-0.00102117,0.0267737
-0.000647781,0.0205555
-0.00461029,0.0188566
-0.00775183,0.0211868
0.00259069,0.0185604
-0.00454123,0.0184423
-0.00244437,0.0197346
0.00161359,0.0161102
-0.00269383,0.0174349
0.00396536,0.0182409
0.0064549,0.013775
0.00530712,0.011277
-0.00185872,0.0137214
0.00394187,0.0136693
-0.000660327,0.0135911
-0.00236429,0.0160956
0.00195364,0.0145263
-0.00388588,0.0157106
-0.00116207,0.0168241
0.00101796,0.0143741
0.00061254,0.0120811
-0.00104584,0.0131185
0.00209195,0.0114713
0.000395212,0.010679
-8.99908e-05,0.01279
0.00387041,0.0112525
0.00032887,0.0125317
0.00276886,0.0134059
0.00557239,0.0108122
0.00292423,0.00986247
0.00222507,0.0108606
0.00386027,0.0104824
0.00031479,0.0101506
0.00213323,0.0105368
0.00523531,0.0086453
0.00253938,0.00920526
0.00404164,0.00994343
0.00379397,0.00796367
0.00266906,0.00721411
0.000486591,0.0080711
0.00260188,0.00832284
-8.95067e-05,0.00804861
-0.000821463,0.009248
0.00136211,0.00895417
-0.00190774,0.00911662
-0.000210901,0.00994595
5.96389e-05,0.00854442
0.000427573,0.00734523
-0.00151749,0.00798354
0.00158786,0.00740135
-0.00193708,0.00754045
-0.00153947,0.00856698
0.000878498,0.00764584
-0.00102325,0.00814788
-7.75006e-05,0.00825313
0.000643272,0.007176
-3.75156e-06,0.00657987
-0.000511006,0.0070734
0.00144646,0.00608747
-0.000200015,0.00601745
-0.000113751,0.00672496
0.00102601,0.00568944
-0.000940154,0.00646256
-0.00033089,0.00710599
-0.000311077,0.00573428
-0.00129942,0.00558376
-0.0034051,0.00615745
-0.00157956,0.00619916
-0.00258057,0.0060031
-0.00281165,0.00644172
-0.00128201,0.00572128
-0.00235415,0.00572589
-0.00144054,0.00625097
-0.000247351,0.00557464
-0.000377849,0.00534135
-0.000950699,0.00561991
0.00102086,0.00529638
-0.000358224,0.00509085
0.000123462,0.00532906
0.0013017,0.00479331
