estimator,half_CI
0,nan
0.0131761,0.0236771
0.0143743,0.0173943
0.0215419,0.0212609
0.0172335,0.0170088
0.0163824,0.0150043
0.018565,0.0157747
0.0162444,0.0138028
0.0147475,0.0122672
0.0132728,0.0110404
0.0160214,0.011737
0.0146863,0.0107589
0.0154846,0.010214
0.0147449,0.00948678
0.0142011,0.00886547
0.0146544,0.00842221
0.0137924,0.00792678
0.0138738,0.00760748
0.0131511,0.00720653
0.0136354,0.00711906
0.0132416,0.00677764
0.0126397,0.00646957
0.0147535,0.00669593
0.0142987,0.00640997
0.0148408,0.00642392
0.0168168,0.00650102
0.016194,0.00626024
0.0163895,0.00602702
0.0159748,0.00581
0.0156576,0.00560801
0.0166091,0.00642136
0.01609,0.00622069
0.0164377,0.0060788
0.0162521,0.00590184
0.0159587,0.0057238
0.0157993,0.00555315
0.0154915,0.00540927
0.0151519,0.00526052
0.0147634,0.00512563
0.0144054,0.00499723
0.0140676,0.00487385
0.0144252,0.00487324
0.0141353,0.00475959
0.0140158,0.00466828
0.0140086,0.00478147
0.0137212,0.00467562
0.0135212,0.00458425
0.0141583,0.00464705
0.0143782,0.00459557
0.0143769,0.00450221
0.0141648,0.00441731
0.0138939,0.00433217
0.0138708,0.00430954
0.0141472,0.00435606
0.0143821,0.00431491
0.0141536,0.00423646
0.0142036,0.00416858
0.0148262,0.00408548
0.0146174,0.00402108
0.014614,0.00394077
0.0146078,0.00387697
0.014569,0.00387453
0.0146173,0.00382012
0.0149777,0.00396202
0.0147916,0.00389494
0.0147428,0.00382469
0.0145991,0.00376144
0.0143844,0.00370612
0.0141956,0.00365575
0.0139928,0.00360353
0.0140082,0.00354418
0.0138137,0.00349495
0.0137957,0.00351913
0.0140217,0.0036662
0.0139022,0.00360817
0.0137223,0.00356034
0.0136758,0.00353586
0.0137177,0.00351736
0.0140662,0.00358234
0.0141089,0.00352915
0.0139347,0.00348558
0.0137648,0.00344307
0.0135989,0.00340159
0.0134674,0.00335773
0.0141376,0.00335491
0.0141378,0.00332189
0.0140077,0.0032827
0.0139887,0.00323955
0.014517,0.00321481
0.0145525,0.00318088
0.0152626,0.00315263
0.0153752,0.0032018
0.0154036,0.00316016
0.0152992,0.00312026
0.0151513,0.00308501
0.0149934,0.00305287
0.0148389,0.0030214
0.0148024,0.00297661
0.0147468,0.00294556
0.0145994,0.00291611

